phase	nature	fatalities	file	type	opr	dep	dest	dep_full	dest_full
APR	exec	2	19891002-1	Cessna 550 Citation II	GTE South	TPA	TDF	Tampa International Airport, FL (TPA/KTPA), United States of America	Roxboro/Person County Airport, NC (TDF), United States of America
ENR	military	4	19891004-1	Boeing KC-135A-BN Stratotanker	United States Air Force - USAF	LIZ	LIZ	Limestone-Loring AFB, ME (LIZ), United States of America	Limestone-Loring AFB, ME (LIZ), United States of America
ICL	private	5	19891006-0	Cessna 208 Caravan I	Westchester Air		DSI	Uncertain, TX, United States of America	Destin Airport, FL (DSI), United States of America
UNK	military	2	19891006-2	Morane Saulnier MS.760A Paris	Fuerza Aérea Argentina - FAA			?	?
TOF	other	3	19891008-0	IAI Arava 101B	Air Liberia			?	?
UNK	military	5	19891014-1	British Aerospace 3102 Jetstream 31	Royal Saudi Air Force - RSAF			?	?
ENR	military	57	19891018-0	Ilyushin 76MD	Soviet Air Force			Sumqayit-Nasosnaya Air Base, Azerbaijan	Bolgrad-Zhovtneve Air Base, Ukraine
APR	cargo	25	19891020-0	Ilyushin 76TD	Aeroflot, Central Region Civil Aviation Directorate	ULY	LWN	Ulyanovsk-Vostochny  Airport (ULY/UWLW), Russia	Leninakan Airport (LWN), Armenia
ENR	other	5	19891020-1	Britten-Norman BN-2A-3 Islander	Tapu Kadastro Genel Müdürlügü	ADA	ADA	Adana Airport (ADA/LTAF), Turkey	Adana Airport (ADA/LTAF), Turkey
APR	passInternational	131	19891021-0	Boeing 727-224		MGA	TGU	Managua-Augusto C Sandino Airport (MGA/MNMG), Nicaragua	Tegucigalpa-Toncontin Airport (TGU/MHTG), Honduras
ENR	passDomestic	54	19891026-0	Boeing 737-209	China Airlines	HUN	TPE	Hualien Airport (HUN/RCYU), Taiwan	Taipei-Chiang Kai Shek International Airport (TPE/RCTP), Taiwan
APR	military	37	19891026-3	Antonov 26	Soviet Air Force		PKC	?	Petropavlovsk-Kamchatsky Airport (PKC/UHPP), Russia
