phase	nature	fatalities	file	type	opr	dep	dest	dep_full	dest_full
ENR	passInternational	160	20050816-0	McDonnell Douglas MD-82	West Caribbean Airways	PTY	FDF	Panama City-Tocumen International Airport (PTY/MPTO), Panama	Fort de France-Lamentin Airport (FDF/TFFF), Martinique
APR	passDomestic	40	20050823-0	Boeing 737-244	Transportes Aéreos Nacionales de la Selva - TANS	LIM	PCL	Lima-Jorge Chavez International Airport (LIM/SPIM), Peru	Pucallpa-Cap. FAP David A. Abensur Rengifo Airport (PCL/SPCL), Peru
ENR	cargo	3	20050904-0	Antonov 2R	Blagoveshchenski ASK ROSTO Polyot	UHBP		Ekimchan (UHBP), Russia	Udskoye, Russia
ICL	passDomestic	149	20050905-0	Boeing 737-230	Mandala Airlines	MES	CGK	Medan-Polonia Airport (MES/WIMM), Indonesia	Jakarta-Soekarno-Hatta International Airport (CGK/WIII), Indonesia
APR	passDomestic	11	20050905-1	Antonov 26B		BNC	IRP	Beni Airport (BNC/FZNP), Congo (Democratic Republic)	Isiro-Matari Airport (IRP/FZJH), Congo (Democratic Republic)
ENR	passDomestic	13	20050909-1	Antonov 26B	Air Kasai	BNB		Boende Airport (BNB/FZGN), Congo (Democratic Republic)	Kinshasa (unknown airport), Congo (Democratic Republic)
ICL	other	2	20050916-0	Cessna 525 CitationJet	JCA Holdings e Participacoes	SDU	SBJR	Rio de Janeiro-Santos Dumont Airport, RJ (SDU/SBRJ), Brazil	Rio de Janeiro-Jacarepaguá Airport,  RJ (SBJR), Brazil
ENR	cargo	2	20050921-1	Antonov 2	Panafrican Airways	KSE	BKY	Kasese Airport (KSE/HUKS), Uganda	Bukavu-Kamenbe Airport (BKY/FZMA), Congo (Democratic Republic)
APR	cargo	6	20050108-0	Antonov 12	Service Air	EBB		Entebbe Airport (EBB/HUEN), Uganda	Kinshasa (unknown airport), Congo (Democratic Republic)
LDG	passDomestic	2	20051004-0	Antonov 12	Wimbi Dira Airways	FKI	BUX	Kisangani Airport (FKI/FZIA), Congo (Democratic Republic)	Bunia Airport (BUX/FZKA), Congo (Democratic Republic)
APR	cargo	1	20051006-0	Cessna 208B Super Cargomaster		YWG	YQT	Winnipeg International Airport, MB (YWG/CYWG), Canada	Thunder Bay Airport, ON (YQT/CYQT), Canada
ENR	passDomestic	117	20051022-0	Boeing 737-2L9	Bellview Airlines	LOS	ABV	Lagos-Murtala Muhammed International Airport (LOS/DNMM), Nigeria	Abuja International Airport (ABV/DNAA), Nigeria
UNK	military	3	20051104-0	PZL-Mielec M28-05 Skytruck	Vietnam Air Force			?	?
UNK	other	2	20051224-0	Antonov 28		HSZA	ELF	Zalingei Airport (HSZA), Sudan	El Fasher Airport (ELF/HSFS), Sudan
APR	other	2	20051228-0	Learjet 35A	Skyward Aviation 	TWF	TKF	Twin Falls City County Airport, ID (TWF/KTWF), United States of America	Truckee Airport, CA (TKF), United States of America
ENR	passInternational	23	20051223-0	Antonov 140-100	Azerbaijan Airlines	GYD	SCO	Baku-Heydar Aliyev International Airport (GYD/UBBB), Azerbaijan	Aktau Airport (SCO/UATE), Kazakhstan
ICL	passInternational	20	20051219-0	Grumman G-73T Turbo Mallard	Chalk's Ocean Airways	SPB	SPB	Miami SPB, FL (MPB), United States of America	Bimini-North SPB (NSB), Bahamas
LDG	passDomestic	108	20051210-0	McDonnell Douglas DC-9-32	Sosoliso Airlines	ABV	PHC	Abuja International Airport (ABV/DNAA), Nigeria	Port Harcourt Airport (PHC/DNPO), Nigeria
APR	military	106	20051206-0	Lockheed C-130E Hercules	Islamic Republic of Iran Air Force - IRIAF	THR	BND	Tehran-Mehrabad Airport (THR/OIII), Iran	Bandar Abbas Airport (BND/OIKB), Iran
ICL	private	2	20051128-0	Beechcraft 200 Super King Air	private	KAD	ABV	Kaduna Airport (KAD/DNKA), Nigeria	Abuja International Airport (ABV/DNAA), Nigeria
ENR	private	8	20051119-0	Cessna 208B Grand Caravan	Ivolga-Avia	VOZ	DME	Voronezh Airport (VOZ/UUOO), Russia	Moskva-Domodedovo Airport (DME/UUDD), Russia
TOF	other	2	20051105-0	Cessna 500 Citation I	Houston Cardiac Electrophysiology Associates	HOU	CRP	Houston-William P. Hobby Airport, TX (HOU/KHOU), United States of America	Corpus Christi International Airport, TX (CRP/KCRP), United States of America
ENR	passDomestic	3	20051118-1	Britten-Norman BN-2A-21 Islander	Blancaneaux Lodge	BZE		Belize City-Philip S.W. Goldson International Airport (BZE/MZBZ), Belize	Privacion Airstrip, Belize
ENR	cargo	8	20051111-0	Ilyushin 76MD		KBL		Kabul-Khwaja Rawash Airport (KBL/OAKB), Afghanistan	?
ICL	cargo	3	20051030-0	Let L-410UVP-E19A	Trade Air	BGY	ZAG	Bergamo-Orio Al Serio Airport (BGY/LIME), Italy	Zagreb-Pleso Airport (ZAG/LDZA), Croatia
APR	other	3	20060102-0	British Aerospace BAe-125-700A	Evolga	SVO	HRK	Moskva-Sheremetyevo Airport (SVO/UUEE), Russia	Kharkov Airport (HRK/UKHH), Ukraine
ENR	passDomestic	3	20060121-0	Cessna 208B Grand Caravan	Sonicblue Airways	YAZ	YVR	Tofino Airport, BC (YAZ/CYAZ), Canada	Vancouver International Airport, BC (YVR/CYVR), Canada
ENR	military	4	20060110-1	North American Rockwell T-39N Sabreliner	United States Navy	CHA	NPA	Chattanooga-Lovell Field, TN (CHA/KCHA), United States of America	Pensacola NAS, FL (NPA/KNPA), United States of America
APR	other	2	20060112-0	Beechcraft B300 Super King Air 350	Euroflug Frenzel	FKB	EDTF	Karlsruhe/Baden Baden-Söllingen Airport (FKB), Germany	Freiburg Im Breisgau Airport (EDTF), Germany
ENR	military	42	20060119-0	Antonov 24B	Slovak Air Force	PRN	KSC	Pristina Airport (PRN/LYPR), Serbia	Koice-Barca Airport (KSC/LZKZ), Slovakia
LDG	private	4	20060124-0	Cessna 560 Citation V	Goship Air	SUN	CLD	Hailey-Friedman Memorial Airport, ID (SUN/KSUN), United States of America	Carlsbad-McClellan-Palomar Airport, CA (CLD/KCRQ), United States of America
LDG	private	6	20060203-0	Beechcraft 200 Super King Air	Jon Kraut	TTN	CRE	Trenton-Mercer County Airport, NJ (TTN/KTTN), United States of America	Myrtle Beach-Grand Strand Airport, SC (CRE), United States of America
ENR	other	3	20060205-0	Shorts 360-100	Air Cargo Carriers	MKE	MKE	Milwaukee-General Mitchell Airport, WI (MKE/KMKE), United States of America	Milwaukee-General Mitchell Airport, WI (MKE/KMKE), United States of America
ENR	cargo	1	20060208-1	Swearingen SA226-TC Metro II	TriCoastal Air	DAY	HRL	Dayton-James Cox Dayton International Airport, OH (DAY/KDAY), United States of America	Harlingen-Valley International Airport, TX (HRL/KHRL), United States of America
LDG	military	20	20060211-0	Antonov 26 ?	Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force)		HSAW	?	Aweil Airport (HSAW), South Sudan
ENR	other	2	20060213-0	Grumman G-159 Gulfstream I	Maria de Jesus Morano			?	?
ENR	exec	6	20060216-0	Cessna 501 Citation I/SP	Hasit Trockenmörtel GmbH	GYD	ISU	Baku-Heydar Aliyev International Airport (GYD/UBBB), Azerbaijan	Sulaymaniyah International Airport (ISU/ORSU), Iraq
ENR	military	6	20060309-0	Learjet 35A	Fuerza Aérea Argentina - FAA	LPB	VVI	La Paz-El Alto Airport (LPB/SLLP), Bolivia	Santa Cruz-Viru Viru International Airport (VVI/SLVR), Bolivia
ENR	cargo	2	20060318-1	Beechcraft C99	Ameriflight	HLN	BTM	Helena Airport, MT (HLN/KHLN), United States of America	Butte Airport, MT (BTM/KBTM), United States of America
ICL	passDomestic	5	20060324-0	Cessna 208B Grand Caravan	ATESA (Aerotaxis Ecuatorianos SA)	CUE	XMS	Cuenca Airport (CUE/SECU), Ecuador	Macas Airport (XMS/SEMC), Ecuador
ENR	other	2	20060328-1	Cessna 208B Grand Caravan	Cessna Aircraft	TRM	ONT	Thermal Airport, CA (TRM), United States of America	Ontario International Airport, CA (ONT/KONT), United States of America
ENR	passDomestic	19	20060331-0	Let L-410UVP-E20	TEAM Transportes Aéreos	MEA	SDU	Macaé Airport, RJ (MEA/SBME), Brazil	Rio de Janeiro-Santos Dumont Airport, RJ (SDU/SBRJ), Brazil
APR	military	14	20060410-0	Harbin Yunshuji Y-12-II	Kenya Air Force - KAF	HKRE	RBT	Nairobi-Eastleigh AB (HKRE), Kenya	Marsabit Airport (RBT/HKMB), Kenya
MNV	other	2	20060411-0	Antonov 2R	Kapoly Air			Kozlovets, Bulgaria	Kozlovets, Bulgaria
LDG	passDomestic	1	20060416-0	Fokker F-27 Friendship 400M	Transporte Aéreo Militar - TAM	RIB	GYA	Riberalta-Gen Buech Airport (RIB/SLRI), Bolivia	Guayaramerin Airport (GYA/SLGY), Bolivia
UNK	military	6	20060423-0	Antonov 74TK-200		SEB	NDJ	Sebha Airport (SEB/HLLS), Libya	N'Djamena Airport (NDJ/FTTJ), Chad
APR	other	4	20060423-1	Antonov 2R				Tersky, Russia	Tersky, Russia
LDG	passDomestic	5	20060424-0	Antonov 32B		KDH	BST	Kandahar Airport (KDH/OAKN), Afghanistan	Bost/Lashkar Gah Airport (BST/OABT), Afghanistan
APR	cargo	8	20060427-0	Convair CV-580F	LAC - SkyCongo	GOM		Goma Airport (GOM/FZNA), Congo (Democratic Republic)	Amisi Airport, Congo (Democratic Republic)
ENR	cargo	3	20060428-0	Cessna 208B Grand Caravan		GOM	BUX	Goma Airport (GOM/FZNA), Congo (Democratic Republic)	Bunia Airport (BUX/FZKA), Congo (Democratic Republic)
APR	passInternational	113	20060503-0	Airbus A320-211	Armavia	EVN	AER	Yerevan Airport (EVN/UDYZ), Armenia	Adler/Sochi Airport (AER/URSS), Russia
ENR	military	5	20060505-4	IAI Arava 201	Guardia Nacional Bolivariana de Venezuela - GNBV	PYH	CCS	Puerto Ayacucho Airport (PYH/SVPA), Venezuela	Caracas-Simón Bolívar International Airport (CCS/SVMI), Venezuela
ENR	private	1	20060514-0	Convair CV-580	Saskatchewan Government Northern Air Operations	YVC	YVC	La Ronge Airport, SK (YVC/CYVC), Canada	La Ronge Airport, SK (YVC/CYVC), Canada
ENR	private	4	20060523-0	de Havilland Canada DHC-6 Twin Otter 300	Air São Tomé & Principe	TMS	TMS	São Tomé Island Airport (TMS/FPST), Sao Tome and Principe	São Tomé Island Airport (TMS/FPST), Sao Tome and Principe
APR	other	2	20060602-1	Learjet 35A		ACY	GON	Atlantic City International Airport, NJ (ACY/KACY), United States of America	New London-Groton Airport, CT (GON/KGON), United States of America
ENR	military	40	20060603-0	Shaanxi KJ-200 (Y-8)	People's Liberation Army - Air Force - PLAAF			?	?
LDG	military	5	20060611-0	Lockheed C-130H Hercules	Force Aérienne Tchadienne	NDJ	AEH	N'Djamena Airport (NDJ/FTTJ), Chad	Abéché Airport (AEH/FTTC), Chad
APR	other	1	20060617-0	Antonov 2P	Flamingo			Taiynsha  Airport, Kazakhstan	Taiynsha  Airport, Kazakhstan
APR	passDomestic	9	20060621-0	de Havilland Canada DHC-6 Twin Otter 300	Yeti Airlines	SKH	JUM	Surkhet Airport (SKH/VNSK), Nepal	Jumla Airport (JUM/VNJL), Nepal
LDG	private	1	20060624-0	Cessna 560 Citation Encore	Aero Charter Services	MYF	CCB	San Diego-Montgomery Field, CA (MYF/KMYF), United States of America	Upland-Cable Airport, CA (CCB/KCCB), United States of America
UNK	other	1	20060630-0	Cessna 208B Grand  Caravan		FAPP	VNX	Polokwane International Airport (FAPP), South Africa	Vilanculos Airport (VNX/FQVL), Mozambique
ENR	cargo	6	20060707-0	Antonov 12B	Mango Airlines	GOM	FKI	Goma Airport (GOM/FZNA), Congo (Democratic Republic)	Kisangani Airport (FKI/FZIA), Congo (Democratic Republic)
LDG	passDomestic	125	20060709-0	Airbus A310-324	S7 Airlines	DME	IKT	Moskva-Domodedovo Airport (DME/UUDD), Russia	Irkutsk Airport (IKT/UIII), Russia
ICL	passDomestic	45	20060710-0	Fokker F-27 Friendship 200	Pakistan International Airlines - PIA	MUX	LHE	Multan Airport (MUX/OPMT), Pakistan	Lahore Airport (LHE/OPLA), Pakistan
LDG	exec	2	20060719-1	Cessna 560 Citation Encore	Tomco II	UOX	RST	Oxford-University Airport, MS (UOX/KUOX), United States of America	Rochester Municipal Airport, MN (RST/KRST), United States of America
APR	military	2	20060719-3	CASA/Nurtanio NC-212 Aviocar 200	Tentara Nasional Indonesia-AD (Army)		SRG	?	Semarang-Achmad Yani Airport (SRG/WARS), Indonesia
TOF	other	2	20060725-0	Spectrum Aeronautical Spectrum 33	Spectrum Aeronautical			Spanish Fork-Springville Airport, UT, United States of America	Spanish Fork-Springville Airport, UT, United States of America
ICL	other	6	20060729-0	de Havilland Canada DHC-6 Twin Otter 100		KUUV	KUUV	Sullivan Regional Airport, MO (KUUV), United States of America	Sullivan Regional Airport, MO (KUUV), United States of America
ENR	passDomestic	17	20060803-0	Antonov 28	TRACEP-Congo Aviation		BKY	Lugushwa, Congo (Democratic Republic)	Bukavu-Kamenbe Airport (BKY/FZMA), Congo (Democratic Republic)
ENR	other	1	20060804-0	Embraer 110P1 Bandeirante	AirNow	BGM	KDDH	Binghamton Airport, NY (BGM/KBGM), United States of America	Bennington-William H. Morse State Airport, VT (KDDH), United States of America
APR	other	1	20060812-0	Antonov 2	Orlan 2000			?	?
ENR	cargo	3	20060813-0	Lockheed L-100-30 Hercules	Air Algérie	ALG	FRA	Algiers-Houari Boumediene Airport (ALG/DAAG), Algeria	Frankfurt International Airport (FRA/EDDF), Germany
ENR	passDomestic	170	20060822-0	Tupolev 154M	Pulkovo Aviation Enterprise	AAQ	LED	Anapa Airport (AAQ/URKA), Russia	Saint Petersburg-Pulkovo Airport (LED/ULLI), Russia
TOF	passDomestic	49	20060827-0	Canadair CL-600-2B19 Regional Jet CRJ-100ER		LEX	ATL	Lexington-Blue Grass Airport, KY (LEX/KLEX), United States of America	Atlanta Hartsfield-Jackson International Airport, GA (ATL/KATL), United States of America
LDG	passDomestic	28	20060901-0	Tupolev 154M	Iran Air Tours	BND	MHD	Bandar Abbas Airport (BND/OIKB), Iran	Mashhad Airport (MHD/OIMM), Iran
ENR	military	14	20060902-0	British Aerospace Nimrod MR.2	Royal Air Force - RAF	MCT	MCT	Muscat-Seeb Airport (MCT/OOMS), Oman	Muscat-Seeb Airport (MCT/OOMS), Oman
ENR	military	13	20060917-0	Dornier 228-212	Nigerian Air Force - NAF	ABV		Abuja International Airport (ABV/DNAA), Nigeria	Bebi Airstrip, Nigeria
ENR	passDomestic	154	20060929-0	Boeing 737-8EH	Gol Transportes Aéreos	MAO	BSB	Manaus-Eduardo Gomes International Airport, AM (MAO/SBEG), Brazil	Brasília-Presidente Juscelino Kubitschek International Airport, DF (BSB/SBBR), Brazil
LDG	passDomestic	4	20061010-0	British Aerospace BAe-146-200A	Atlantic Airways	SVG	SRP	Stavanger-Sola Airport (SVG/ENZV), Norway	Stord-Sørstokken Airport (SRP/ENSO), Norway
APR	military	15	20061019-0	Antonov 2TP	Uzbekistan Airways			Aranchi Airstrip, Uzbekistan	Aranchi Airstrip, Uzbekistan
UNK	military	2	20061019-1	Xian Yunshuji Y-7	People's Liberation Army - Air Force - PLAAF			?	?
ENR	other	4	20061026-0	CASA C-212 Aviocar 200	Kustbevakningen (Swedish Coast Guard)	RNB	MMX	Ronneby-Kallinge Airport (RNB/ESDF), Sweden	Malmö-Sturup Airport (MMX/ESMS), Sweden
ICL	passDomestic	96	20061029-0	Boeing 737-2B7	ADC Airlines	ABV	SKO	Abuja International Airport (ABV/DNAA), Nigeria	Sokoto Airport (SKO/DNSO), Nigeria
TOF	military	7	20061108-0	Learjet 35A	Royal Thai Air Force - RTAF	TKH	KKC	Nakhon Sawan/Takhli Air Base (TKH/VTPI), Thailand	Khon Kaen Airport (KKC/VTUK), Thailand
APR	cargo	6	20061118-0	Boeing 727-23F	Aerosucre Colombia	BOG	LET	Bogotá-Eldorado Airport (BOG/SKBO), Colombia	Leticia-Alfredo Vásquez Cobo Airport (LET/SKLT), Colombia
ENR	military	3	20061122-0	Cessna 208 Caravan I	Fuerza Aérea Colombiana	MDE	SKME	Rionegro/Medellín-José María Córdova Airport (MDE/SKRG), Colombia	Melgar AB (SKME), Colombia
ENR	passDomestic	12	20061117-0	de Havilland Canada DHC-6 Twin Otter 300	Trigana Air Service	LII	ILA	Mulia Airport (LII/WABQ), Indonesia	Ilaga Airport (ILA/WABL), Indonesia
TOF	military	37	20061127-0	Antonov 74T-200	Iranian Revolutionary Guard Corps Air Force - IRGCAF	THR	SYZ	Tehran-Mehrabad Airport (THR/OIII), Iran	Shiraz Airport (SYZ/OISS), Iran
MNV	other	1	20061129-0	Grob G.180A SPn	Grob Aerospace	EDMN	EDMN	Mindelheim-Mattsies Airport (EDMN), Germany	Mindelheim-Mattsies Airport (EDMN), Germany
APR	military	4	20061216-0	Antonov 32B	Fuerza Aérea Mexicana			?	Pie de la Cuesta AB, Mexico
APR	cargo	2	20061230-1	North American CT-39A-1-NA Sabreliner	Facts Air	LAP	CUL	La Paz-Manuel Márquez de León International Airport (LAP/MMLP), Mexico	Culiacán-Fedl de Bachigualato Airport (CUL/MMCL), Mexico
UNK	military	11	20060109-0	Dassault Falcon 20	Iranian Revolutionary Guard Corps Air Force - IRGCAF	THR	OMH	Tehran-Mehrabad Airport (THR/OIII), Iran	Urmia (Orumiyeh) Airport (OMH/OITR), Iran
ENR	cargo	1	20070723-2	Antonov 26	Djibouti Airlines	DIR	JIB	Dire Dawa-Aba Tenna D Yilma Airport (DIR/HADR), Ethiopia	Djibouti-Ambouli Airport (JIB/HDAM), Djibouti
APR	passDomestic	1	20070107-0	Beechcraft A100 King Air	Transwest Air	YVC		La Ronge Airport, SK (YVC/CYVC), Canada	Sandy Bay Airport, SK, Canada
ENR	passDomestic	3	20070206-0	Beechcraft 200 Super King Air	Metro Aviation	GTF	BZN	Great Falls International Airport, MT (GTF/KGTF), United States of America	Bozeman-Gallatin Field, MT (BZN/KBZN), United States of America
ICL	other	2	20070112-0	Cessna 525 CitationJet	SunQuest Executive Air Charter	VNY	LGB	Los Angeles-Van Nuys Airport, CA (VNY), United States of America	Long Beach Municipal Airport, CA (LGB/KLGB), United States of America
ICL	passDomestic	1	20070206-1	Beechcraft 200C Super King Air	Air Turks & Caicos (2003)	NCA	GDT	North Caicos Airport (NCA/MBNC), Turks and Caicos Islands	Grand Turk Island Airport (GDT/MBJT), Turks and Caicos Islands
ENR	cargo	1	20070215-1	Cessna 208B Grand Caravan	Stellavia	GOM		Goma Airport (GOM/FZNA), Congo (Democratic Republic)	Walikale Airstrip, Congo (Democratic Republic)
LDG	passDomestic	21	20070307-0	Boeing 737-497	Garuda Indonesia Airways	CGK	JOG	Jakarta-Soekarno-Hatta International Airport (CGK/WIII), Indonesia	Yogyakarta-Adisutjipto Airport (JOG/WARJ), Indonesia
LDG	passDomestic	6	20070317-0	Tupolev 134A-3	UTAir	SGC	KUF	Surgut Airport (SGC/USRR), Russia	Samara Airport (KUF/UWWW), Russia
ICL	cargo	11	20070323-0	Ilyushin 76TD	Transaviaexport Airlines	MGQ	JIB	Mogadishu International Airport (MGQ/HCMM), Somalia	Djibouti-Ambouli Airport (JIB/HDAM), Djibouti
ENR	cargo	2	20070330-1	Embraer 110P1 Bandeirante	Airlink	POM	HKN	Port Moresby-Jackson Field (POM/AYPY), Papua New Guinea	Hoskins Airport (HKN), Papua New Guinea
ENR	passDomestic	3	20070425-0	Britten-Norman BN-2A-27 Islander	Air Services	KTO		Kato Airport (KTO/SYKT), Guyana	Kopinang Airfield, Guyana
APR	exec	2	20070503-0	Cessna 550 Citation S/II	Hamilton Ranches Inc.	RFD	DLN	Rockford-Greater Rockford Airport, IL (RFD/KRFD), United States of America	Dillon Airport, MT (DLN), United States of America
ENR	passInternational	114	20070505-0	Boeing 737-8AL	Kenya Airways	DLA	NBO	Douala Airport (DLA/FKKD), Cameroon	Nairobi-Jomo Kenyatta International Airport (NBO/HKNA), Kenya
ENR	military	9	20070506-0	de Havilland Canada DHC-6 Twin Otter 300		HEGR	SKV	El-Gora (HEGR), Egypt	Santa Katarina-Mount Sinai Airport (SKV/HESC), Egypt
ICL	cargo	3	20070517-0	Let L-410UVP	SAFE Air Company		GOM	Walikale Airstrip, Congo (Democratic Republic)	Goma Airport (GOM/FZNA), Congo (Democratic Republic)
ENR	passDomestic	13	20070524-0	de Havilland Canada DHC-6 Twin Otter 300	Fuerza Aérea del Peru - FAP	SPON	SPPH	Orellana Airport (SPON), Peru	Pampa Hermosa Airport (SPPH), Peru
ENR	passDomestic	6	20070604-0	Cessna 550 Citation II	Marlin Air	MKE	YIP	Milwaukee-General Mitchell Airport, WI (MKE/KMKE), United States of America	Detroit-Willow Run Airport, MI (YIP/KYIP), United States of America
ENR	passDomestic	1	20070621-0	Let L-410UVP	Karibu Airways	KMN	FBM	Kamina Airport (KMN/FZSA), Congo (Democratic Republic)	Lubumbashi-Luano (FBM/FZQA), Congo (Democratic Republic)
ENR	passDomestic	22	20070625-0	Antonov 24B	PMT Air	REP	KOS	Siem Reap-Angkor Airport (REP/VDSR), Cambodia	Sihanoukville (Kompong Som) Airport (KOS/VDSV), Cambodia
LDG	passDomestic	6	20070628-0	Boeing 737-2M2	TAAG Angola Airlines	LAD	SSY	Luanda-4 de Fevereiro Airport (LAD/FNLU), Angola	M'Banza Congo Airport (SSY/FNBC), Angola
TXI	exec	4	20070629-0	Fokker 100	Ivory Coast Government	ABJ	BYK	Abidjan-Felix Houphouet Boigny Airport (ABJ/DIAP), Cote d'Ivoire	Bouaké Airport (BYK/DIBK), Cote d'Ivoire
LDG	private	2	20070630-0	Cessna 500 Citation I	IHR Administrative Services		KCWS	Kickapoo Downtown Airpark, TX, United States of America	Conway-Dennis F. Cantrell Field, AR (KCWS), United States of America
TOF	cargo	10	20070705-0	North American CT-39A Sabreliner	Jett Paqueteria	CUL	LAP	Culiacán-Fedl de Bachigualato Airport (CUL/MMCL), Mexico	La Paz-Manuel Márquez de León International Airport (LAP/MMLP), Mexico
APR	passDomestic	2	20070705-1	Cessna 208B Grand Caravan	Lancton Taverns Ltd.	IIA	EICA	Inishmaan Airport (IIA/EIMN), Ireland	Connemara Airport (EICA), Ireland
ICL	passDomestic	1	20070708-0	de Havilland Canada DHC-6 Twin Otter 100	Liard Air		YXS	Muncho Lake-Mile 462 Water Aerodrome, BC, Canada	Prince George Airport, BC (YXS/CYXS), Canada
LDG	passDomestic	199	20070717-0	Airbus A320-233	TAM Linhas Aéreas	POA	CGH	Porto Alegre-Salgado Filho International Airport, RS (POA/SBPA), Brazil	São Paulo-Congonhas Airport, SP (CGH/SBSP), Brazil
ENR	military	2	20070723-0	Canadair CL-215-6B11 (CL-415)	Elleniki Polemikí Aeroporía			?	?
ENR	other	1	20070723-1	Canadair CL-215-6B11 (CL-415)		PSR		Pescara-Liberi Airport (PSR/LIBP), Italy	?
APR	cargo	2	20070109-1	Learjet 24F	Ameristar Jet Charter	LRD	GDL	Laredo International Airport, TX (LRD/KLRD), United States of America	Guadalajara-Don Miguel Hidalgo y Costilla International Airport (GDL/MMGL), Mexico
ENR	cargo	7	20070729-0	Antonov 12BP	ATRAN-Aviatrans Cargo Airlines	DME	OMS	Moskva-Domodedovo Airport (DME/UUDD), Russia	Omsk Airport (OMS/UNOO), Russia
ICL	passDomestic	20	20070809-0	de Havilland Canada DHC-6 Twin Otter 300	Air Moorea	MOZ	PPT	Moorea-Temae Airport (MOZ/NTTM), French Polynesia	Papeete-Faaa Airport (PPT/NTAA), French Polynesia
ENR	other	2	20070822-1	Embraer 110P1 Bandeirante	Two Táxi Aéreo	CWB	QDV	Curitiba-Afonso Pena International Airport, PR (CWB/SBCT), Brazil	Jundiaí Airport, SP (QDV/SDJD), Brazil
APR	cargo	14	20070826-0	Antonov 32B	Great Lake Business Company	KOO	GOM	Kongolo Airport (KOO/FZRQ), Congo (Democratic Republic)	Goma Airport (GOM/FZNA), Congo (Democratic Republic)
LDG	cargo	8	20070907-0	Antonov 12BP		FKI	GOM	Kisangani Airport (FKI/FZIA), Congo (Democratic Republic)	Goma Airport (GOM/FZNA), Congo (Democratic Republic)
LDG	passDomestic	90	20070916-0	McDonnell Douglas MD-82	One-Two-Go Airlines	DMK	HKT	Bangkok-Don Muang International Airport (DMK/VTBD), Thailand	Phuket International Airport (HKT/VTSP), Thailand
TOF	other	1	20070920-0	Shorts SC.7 Skyvan 3-100	Arctic Circle Air Service		ANC	Mystic Lake Lodge Airstrip, AK, United States of America	Anchorage-Ted Stevens International Airport, AK (ANC/PANC), United States of America
LDG	other	1	20070924-1	Let L-410UVP	Free Airlines	FBM		Lubumbashi-Luano (FBM/FZQA), Congo (Democratic Republic)	?
ICL	other	2	20070926-0	Reims Cessna F406 Caravan II	Fugro Airborne Surveys	EBB	KCU	Entebbe Airport (EBB/HUEN), Uganda	Masindi Airport (KCU/HUMI), Uganda
ENR	cargo	7	20070929-0	Antonov 12BK		FKI	GOM	Kisangani-Bangoka International Airport (FKI/FZIC), Congo (Democratic Republic)	Goma Airport (GOM/FZNA), Congo (Democratic Republic)
ICL	cargo	49	20071004-0	Antonov 26		FIH	TSH	Kinshasa-N'Djili Airport (FIH/FZAA), Congo (Democratic Republic)	Tshikapa Airport (TSH/FZUK), Congo (Democratic Republic)
ENR	other	10	20071007-0	Cessna 208B Grand Caravan	Kapowsin Air Sports		SHN	Star-Snake River Skydiving Airport, ID, United States of America	Shelton-Sanderson Field, WA (SHN/KSHN), United States of America
APR	other	2	20071007-1	Gulfstream Aerospace G-1159 Gulfstream IIB	V. Duenas Torres	BON	STD	Bonaire-Flamingo International Airport (BON/TNCB), Netherlands Antilles	Santo Domingo-Mayor Buenaventura Vivas Airport (STD/SVSO), Venezuela
ENR	passDomestic	17	20071008-0	Let L-410UVP-E10A	Nacional de Aviación	VVC	URI	Villavicencio-La Vanguardia Airport (VVC/SKVV), Colombia	Uribe Airport (URI), Colombia
ICL	passDomestic	7	20071011-1	Beechcraft B200 Super King Air	Rio Sur	BOG	LET	Bogotá-Eldorado Airport (BOG/SKBO), Colombia	Leticia-Alfredo Vásquez Cobo Airport (LET/SKLT), Colombia
ENR	other	1	20071017-1	Britten-Norman BN-2A-21 Islander	Auxiliar de Actividades Aérea	LEGC		Altarejos-Guadalcanal Airport (LEGC), Spain	?
LDG	passDomestic	2	20071025-0	Beechcraft A100 King Air	Air Creebec	YVO	YMT	Val-dOr Airport, QC (YVO/CYVO), Canada	Chibougamau Airport, QC (YMT), Canada
ICL	other	8	20071104-0	Learjet 35A	Reali Táxi Aéreo	SBMT	SDU	São Paulo-Campo de Marte Airport, SP (SBMT), Brazil	Rio de Janeiro-Santos Dumont Airport, RJ (SDU/SBRJ), Brazil
APR	other	2	20071104-1	Beechcraft A100 King Air	private		FRS	?	Flores-Santa Elena Airport (FRS/MGFL), Guatemala
TOF	exec	2	20071106-0	Beechcraft A100 King Air	RHB-JMJ LLC	CNO	VIS	Chino Airport, CA (CNO), United States of America	Visalia Airport, CA (VIS/KVIS), United States of America
APR	passDomestic	57	20071130-0	McDonnell Douglas MD-83		IST	ISE	Istanbul-Atatürk International Airport (IST/LTBA), Turkey	Isparta-Süleyman Demirel Airport (ISE/LTFC), Turkey
ENR	cargo	2	20071205-0	Cessna 208B Super Cargomaster		LCK	BUF	Columbus-Rickenbacker International Airport, OH (LCK/KLCK), United States of America	Buffalo Municipal Airport, NY (BUF/KBUF), United States of America
APR	exec	2	20071210-1	Beechcraft 200 Super King Air	QB Corporation	SMN	BOI	Salmon-Lemhi County Airport, ID (SMN/KSMN), United States of America	Boise Air Terminal, ID (BOI/KBOI), United States of America
